date,Qobs,Qb_o_o,Qb_o_09,Qb_o_omedian,Qb_m_09,Qb_m_o,Qb_m_omedian,Qb_Af_09,Qb_Af_o,Qb_Af_omedian
1995-02-07,24.0441801189465,11.2432738600963,11.2432738600963,11.2432738600963,11.2432738600963,11.2432738600963,11.2432738600963,11.2432738600963,11.2432738600963,11.2432738600963
1995-02-08,23.5910506938544,11.4257843229806,11.4257843229806,11.4257843229806,11.4257843229806,11.4257843229806,11.4257843229806,11.4257843229806,11.4257843229806,11.4257843229806
1995-02-09,22.090059473237,11.6082947858649,11.6082947858649,11.6082947858649,11.6082947858649,11.6082947858649,11.6082947858649,11.6082947858649,11.6082947858649,11.6082947858649
1995-02-10,20.3058623619371,11.7908052487492,11.7908052487492,11.7908052487492,11.7908052487492,11.7908052487492,11.7908052487492,11.7908052487492,11.7908052487492,11.7908052487492
1995-02-11,18.5499858397055,11.9733157116335,11.9733157116335,11.9733157116335,11.9733157116335,11.9733157116335,11.9733157116335,11.9733157116335,11.9733157116335,11.9733157116335
1995-02-12,16.6241857830643,12.1558261745178,12.1558261745178,12.1558261745178,12.1558261745178,12.1558261745178,12.1558261745178,12.1558261745178,12.1558261745178,12.1558261745178
1995-02-13,15.1798357405834,12.3383366374021,12.3383366374021,12.3383366374021,12.3383366374021,12.3383366374021,12.3383366374021,12.3383366374021,12.3383366374021,12.3383366374021
1995-02-14,14.1319739450581,12.5208471002864,12.5208471002864,12.5208471002864,12.5208471002864,12.5208471002864,12.5208471002864,12.5208471002864,12.5208471002864,12.5208471002864
1995-02-15,13.3673180402152,12.7033575631706,12.7033575631706,12.7033575631706,12.7033575631706,12.7033575631706,12.7033575631706,12.7033575631706,12.7033575631706,12.7033575631706
1995-02-16,12.8858680260549,12.8858680260549,12.8858680260549,12.8858680260549,12.8858680260549,12.8858680260549,12.8858680260549,12.8858680260549,12.8858680260549,12.8858680260549
1995-02-17,14.018691588785,13.0444633248372,13.0444633248372,13.0444633248372,13.0444633248372,13.0444633248372,13.0444633248372,13.0444633248372,13.0444633248372,13.0444633248372
1995-02-18,14.1319739450581,13.2030586236194,13.2030586236194,13.2030586236194,13.2030586236194,13.2030586236194,13.2030586236194,13.2030586236194,13.2030586236194,13.2030586236194
1995-02-19,54.375531011045,13.3616539224016,13.3616539224016,13.3616539224016,13.3616539224016,13.3616539224016,13.3616539224016,13.3616539224016,13.3616539224016,13.3616539224016
1995-02-20,114.698385726423,13.5202492211838,13.5202492211838,13.5202492211838,13.5202492211838,13.5202492211838,13.5202492211838,13.5202492211838,13.5202492211838,13.5202492211838
1995-02-21,92.041914471821,13.678844519966,13.678844519966,13.678844519966,13.678844519966,13.678844519966,13.678844519966,13.678844519966,13.678844519966,13.678844519966
1995-02-22,76.4655904842821,13.8374398187482,13.8374398187482,13.8374398187482,13.8374398187482,13.8374398187482,13.8374398187482,13.8374398187482,13.8374398187482,13.8374398187482
1995-02-23,56.6411781365052,13.9960351175304,13.9960351175304,13.9960351175304,13.9960351175304,13.9960351175304,13.9960351175304,13.9960351175304,13.9960351175304,13.9960351175304
1995-02-24,45.3129425092042,14.1546304163127,14.1546304163127,14.1546304163127,14.1546304163127,14.1546304163127,14.1546304163127,14.1546304163127,14.1546304163127,14.1546304163127
1995-02-25,43.3305012744265,14.3132257150949,14.3132257150949,14.3132257150949,14.3132257150949,14.3132257150949,14.3132257150949,14.3132257150949,14.3132257150949,14.3132257150949
